Cliente,Tipo de Cliente,Articulos comprados,Total Facturado (dolares),Modo de Pago,Sexo,Estado Civil,Edad,Calidad de Servicio,Reclamo
1,Regular,1,39.50,Diners Club,Mujer,Casado,32,Bueno,3
2,Promocional,1,102.40,American Express,Hombre,Casado,36,Muy Bueno,3
3,Regular,1,22.50,American Express,Hombre,Casado,32,Bueno,3
4,Promocional,5,100.40,American Express,Hombre,Casado,28,Excelente,3
5,Regular,2,54.00,MasterCard,Hombre,Casado,34,Muy Bueno,1
6,Regular,1,44.50,MasterCard,Hombre,Casado,44,Bueno,2
7,Promocional,2,78.00,American Express,Hombre,Casado,30,Muy Bueno,4
8,Regular,1,22.50,Visa,Hombre,Casado,40,Muy Bueno,0
9,Promocional,2,56.52,American Express,Hombre,Casado,46,Muy Bueno,1
10,Regular,1,44.50,American Express,Hombre,Casado,36,Bueno,4
11,Regular,1,29.50,American Express,Hombre,Casado,48,Muy Bueno,4
12,Promocional,1,31.60,American Express,Hombre,Casado,40,Muy Bueno,0
13,Promocional,9,160.40,Visa,Hombre,Casado,40,Excelente,3
14,Promocional,2,64.50,Visa,Hombre,Casado,46,Excelente,4
15,Regular,1,49.50,Visa,Mujer,Soltero,24,Bueno,2
16,Promocional,2,71.40,American Express,Mujer,Soltero,36,Bueno,0
17,Promocional,3,94.00,American Express,Hombre,Soltero,22,Bueno,1
18,Regular,3,54.50,Diners Club,Hombre,Casado,40,Excelente,4
19,Promocional,2,38.50,MasterCard,Hombre,Casado,32,Muy Bueno,2
20,Promocional,6,44.80,American Express,Hombre,Casado,56,Bueno,3
21,Promocional,1,31.60,American Express,Hombre,Soltero,28,Muy Bueno,1
22,Promocional,4,70.82,American Express,Hombre,Casado,38,Muy Bueno,1
23,Promocional,7,266.00,American Express,Hombre,Casado,50,Excelente,1
24,Regular,2,74.00,American Express,Hombre,Casado,42,Excelente,4
25,Promocional,2,39.50,Visa,Mujer,Casado,48,Muy Bueno,2
26,Promocional,1,30.02,American Express,Hombre,Casado,60,Muy Bueno,2
27,Regular,1,44.50,American Express,Hombre,Casado,54,Bueno,2
28,Promocional,5,192.80,American Express,Hombre,Soltero,42,Bueno,2
29,Promocional,3,71.20,American Express,Hombre,Casado,32,Muy Bueno,4
30,Promocional,1,18.00,American Express,Hombre,Casado,70,Muy Bueno,2
31,Promocional,2,63.20,MasterCard,Hombre,Casado,28,Muy Bueno,2
32,Regular,1,75.00,American Express,Hombre,Casado,52,Bueno,2
33,Promocional,3,63.20,American Express,Hombre,Casado,44,Excelente,0
34,Regular,1,40.00,American Express,Hombre,Casado,34,Bueno,1
35,Promocional,5,105.50,MasterCard,Hombre,Casado,56,Excelente,1
36,Regular,1,29.50,MasterCard,Mujer,Soltero,36,Bueno,1
37,Regular,2,102.50,Visa,Hombre,Soltero,42,Excelente,1
38,Promocional,6,117.50,American Express,Hombre,Casado,50,Bueno,0
39,Promocional,5,13.23,American Express,Hombre,Casado,44,Bueno,0
40,Regular,2,52.50,American Express,Hombre,Casado,58,Excelente,0
41,Promocional,13,198.80,American Express,Hombre,Casado,42,Bueno,2
42,Promocional,4,19.50,Visa,Hombre,Casado,46,Excelente,2
43,Regular,2,123.50,American Express,Hombre,Casado,48,Muy Bueno,4
44,Promocional,1,62.40,American Express,Hombre,Casado,54,Muy Bueno,1
45,Promocional,2,23.80,American Express,Hombre,Casado,38,Excelente,2
46,Promocional,2,39.60,American Express,Hombre,Casado,60,Excelente,0
47,Regular,1,25.00,MasterCard,Hombre,Casado,46,Muy Bueno,4
48,Promocional,3,63.64,American Express,Hombre,Casado,30,Muy Bueno,4
49,Promocional,1,14.82,American Express,Hombre,Casado,32,Excelente,4
50,Promocional,9,145.20,MasterCard,Hombre,Casado,46,Excelente,1
51,Promocional,6,176.62,American Express,Hombre,Casado,38,Muy Bueno,4
52,Promocional,5,118.80,American Express,Mujer,Casado,68,Bueno,3
53,Regular,1,58.00,Diners Club,Hombre,Soltero,78,Muy Bueno,4
54,Regular,2,74.00,Visa,Hombre,Soltero,20,Excelente,3
55,Regular,2,49.50,MasterCard,Hombre,Casado,32,Muy Bueno,0
56,Promocional,3,141.60,American Express,Hombre,Casado,38,Muy Bueno,4
57,Promocional,6,123.10,American Express,Hombre,Casado,54,Excelente,1
58,Promocional,2,80.40,American Express,Hombre,Casado,48,Bueno,2
59,Promocional,4,65.20,MasterCard,Hombre,Casado,46,Muy Bueno,0
60,Promocional,4,113.00,American Express,Hombre,Soltero,50,Bueno,3
61,Promocional,1,108.80,American Express,Hombre,Casado,46,Muy Bueno,3
62,Promocional,3,59.91,American Express,Hombre,Soltero,30,Excelente,4
63,Promocional,5,53.60,American Express,Hombre,Casado,54,Muy Bueno,0
64,Promocional,1,31.60,American Express,Hombre,Soltero,42,Bueno,1
65,Promocional,2,49.50,American Express,Hombre,Casado,48,Bueno,0
66,Promocional,1,39.60,American Express,Hombre,Casado,62,Excelente,3
67,Promocional,2,59.50,American Express,Hombre,Casado,34,Muy Bueno,2
68,Promocional,5,146.80,American Express,Hombre,Casado,28,Excelente,2
69,Promocional,2,47.20,American Express,Mujer,Casado,46,Muy Bueno,4
